Symbol,Side,EntryTime,PeakTime,ExitTime,Leverage,EntryPrice,ExitPrice,PnL,PnL%,PeakROI,Reason
ETH/USDT,buy,2020-05-22 20:00:00+00:00,2020-05-23 00:00:00+00:00,2020-05-24 16:00:00+00:00,100,207.57,202.48731,-52.04013841581481,-259.7438770053467,174.88076311605698,SL
ETH/USDT,sell,2020-05-25 00:00:00+00:00,2020-05-25 00:00:00+00:00,2020-05-25 04:00:00+00:00,100,199.7,204.1,-26.103923112581917,-230.4406609914882,99.14872308462644,TrendExit
ZEC/USDT,buy,2020-05-17 04:00:00+00:00,2020-05-20 00:00:00+00:00,2020-05-26 12:00:00+00:00,50,44.78,44.3,-14.042412054269807,-72.56855739169356,638.6779812416256,TrendExit
ETH/USDT,buy,2020-05-27 16:00:00+00:00,2020-05-28 00:00:00+00:00,2020-05-28 04:00:00+00:00,100,205.98,204.84495,-57.0646560564416,-66.07731211768005,146.6161763277993,SL
ETH/USDT,buy,2020-06-01 04:00:00+00:00,2020-06-02 08:00:00+00:00,2020-06-02 12:00:00+00:00,100,238.79,229.31045999999998,-48.505170204317686,-410.7837945475107,657.0626910674652,SL
BNB/USDT,buy,2020-06-02 00:00:00+00:00,2020-06-02 08:00:00+00:00,2020-06-02 12:00:00+00:00,50,17.968,17.391591,-48.459395521194665,-165.8185650879345,72.35084594835307,SL
ETH/USDT,buy,2020-06-03 16:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-04 08:00:00+00:00,100,239.34,236.763,-50.729819282320356,-119.61725996490262,307.51232556196146,SL
BNB/USDT,buy,2020-06-04 00:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-04 08:00:00+00:00,50,17.573,17.339643,-49.42316994458293,-71.86326224890519,24.184828999032845,SL
ETH/USDT,buy,2020-06-07 20:00:00+00:00,2020-06-10 16:00:00+00:00,2020-06-11 16:00:00+00:00,100,242.39,234.99477,-47.44619608113502,-325.94378419076645,355.2126737901735,SL
ZEC/USDT,buy,2020-05-28 00:00:00+00:00,2020-05-30 20:00:00+00:00,2020-06-11 20:00:00+00:00,50,46.19,49.65,182.79272529661728,347.352673738904,1105.2175795626758,TrendExit
ETH/USDT,buy,2020-06-16 12:00:00+00:00,2020-06-16 12:00:00+00:00,2020-06-16 12:00:00+00:00,100,234.49,231.65811,-49.897817285122095,-130.70766578532223,64.3950701522449,SL
ZEC/USDT,buy,2020-06-16 04:00:00+00:00,2020-06-16 04:00:00+00:00,2020-06-17 20:00:00+00:00,50,53.0,51.72822,-48.962262813805374,-127.41925566037695,94.33962264150945,SL
ETH/USDT,sell,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,2020-06-17 20:00:00+00:00,100,229.37,233.44321,-48.06341578225684,-187.67129986484682,82.83559314644485,SL
ETH/USDT,buy,2020-06-18 00:00:00+00:00,2020-06-18 00:00:00+00:00,2020-06-18 04:00:00+00:00,100,233.73,233.48,-3.299845994675491,-20.690754289136787,41.50087708039186,TrendExit
ZEC/USDT,buy,2020-06-22 12:00:00+00:00,2020-06-23 16:00:00+00:00,2020-06-27 16:00:00+00:00,50,52.78,51.848099999999995,-50.46545755022626,-100.7374052671473,826.070481242895,SL
ETH/USDT,sell,2020-06-30 16:00:00+00:00,2020-07-01 00:00:00+00:00,2020-07-01 08:00:00+00:00,100,226.39,228.07784999999996,-50.633338707623544,-86.5922489950947,105.12831838862122,SL
ETH/USDT,sell,2020-07-02 16:00:00+00:00,2020-07-02 16:00:00+00:00,2020-07-06 04:00:00+00:00,100,225.1,231.67143999999996,-45.92656424743587,-312.0802185695239,103.95379831186156,SL
BNB/USDT,sell,2020-06-24 12:00:00+00:00,2020-06-27 16:00:00+00:00,2020-07-06 20:00:00+00:00,50,16.072,16.322,-25.508568066733524,-101.313899950224,426.51816824290654,TrendExit
ETH/USDT,buy,2020-07-06 08:00:00+00:00,2020-07-08 16:00:00+00:00,2020-07-16 04:00:00+00:00,100,232.84,232.54,-9.11468055407684,-51.87794193437606,694.0388249441676,TrendExit
BNB/USDT,buy,2020-07-11 00:00:00+00:00,2020-07-13 12:00:00+00:00,2020-07-16 04:00:00+00:00,50,17.327,16.955028000000002,-46.94693211306607,-119.78516592601167,502.6836728804748,SL
ETH/USDT,buy,2020-07-20 00:00:00+00:00,2020-07-20 00:00:00+00:00,2020-07-20 16:00:00+00:00,100,239.18,234.5652,-43.92031309104605,-204.84608244836605,26.339994982857906,SL
ETH/USDT,buy,2020-07-21 04:00:00+00:00,2020-07-25 16:00:00+00:00,2020-07-25 16:00:00+00:00,100,237.12,296.4,393.7088631021739,2488.749999999999,2500.0,HalfTP10%
ZEC/USDT,buy,2020-07-06 12:00:00+00:00,2020-07-26 08:00:00+00:00,2020-07-26 08:00:00+00:00,50,53.58,66.975,203.61269820684325,1244.3749999999995,1250.0,HalfTP10%
