Symbol,Side,EntryTime,PeakTime,ExitTime,Leverage,EntryPrice,ExitPrice,PnL,PnL%,PeakROI,Reason
DOGE/USDT,sell,2020-10-13 16:00:00+00:00,2020-10-16 08:00:00+00:00,2020-10-19 04:00:00+00:00,50,0.002644,0.002586,148.64316670516436,104.73714069591485,177.76096822995441,RevLow
BNB/USDT,buy,2020-10-09 08:00:00+00:00,2020-10-16 00:00:00+00:00,2020-10-20 16:00:00+00:00,50,28.178,28.654,55.7853698106692,79.42082475690242,658.8473277024624,TrendExit
DOGE/USDT,sell,2020-10-19 20:00:00+00:00,2020-10-19 20:00:00+00:00,2020-10-21 00:00:00+00:00,50,0.002595,0.0026236209999999996,-76.06411228212428,-60.17400867051935,30.82851637764924,SL
BTC/USDT,buy,2020-10-08 16:00:00+00:00,2020-10-21 20:00:00+00:00,2020-10-22 00:00:00+00:00,125,10892.69,12724.73,347.65239151604345,2088.8220563515515,2693.6757586968865,RevHigh
ZEC/USDT,buy,2020-10-22 12:00:00+00:00,2020-10-22 16:00:00+00:00,2020-10-23 00:00:00+00:00,50,66.29,63.89604,-74.9670844496236,-185.47692110423947,66.3750188565391,SL
ZEC/USDT,sell,2020-10-23 20:00:00+00:00,2020-10-24 08:00:00+00:00,2020-10-24 16:00:00+00:00,50,62.83,64.04397999999999,-76.00753927190195,-101.65661228712344,93.10838771287618,SL
DOGE/USDT,buy,2020-10-25 04:00:00+00:00,2020-10-25 04:00:00+00:00,2020-10-25 04:00:00+00:00,50,0.002662,0.00262737,-76.93127077911795,-70.01255634860948,15.026296018031923,SL
SOL/USDT,sell,2020-10-13 20:00:00+00:00,2020-10-25 20:00:00+00:00,2020-10-25 20:00:00+00:00,50,2.365,1.7737500000000002,144.6615563213344,1245.625,1250.0,HalfTP10%
DOGE/USDT,buy,2020-10-25 16:00:00+00:00,2020-10-26 00:00:00+00:00,2020-10-27 08:00:00+00:00,50,0.002651,0.00261738,-76.2433479745452,-68.37832893247861,492.26706903055435,SL
AVAX/USDT,buy,2020-10-22 04:00:00+00:00,2020-10-26 08:00:00+00:00,2020-10-28 04:00:00+00:00,50,4.0762,4.0357,-20.308588711738913,-54.65378293508664,508.43923261861573,TrendExit
BNB/USDT,buy,2020-10-22 04:00:00+00:00,2020-10-27 16:00:00+00:00,2020-10-29 08:00:00+00:00,50,30.005,29.805,-32.93081936465973,-38.31111481419758,407.09881686385626,TrendExit
BTC/USDT,buy,2020-10-29 20:00:00+00:00,2020-10-30 00:00:00+00:00,2020-10-30 00:00:00+00:00,125,13482.09,13342.1445,-77.64602525385045,-142.18642774414022,170.18874670025147,SL
ETH/USDT,buy,2020-10-21 08:00:00+00:00,2020-10-22 20:00:00+00:00,2020-10-30 04:00:00+00:00,100,379.44,378.61,-10.34694034442025,-31.863403963735998,1119.0174994729068,TrendExit
ETH/USDT,sell,2020-11-02 12:00:00+00:00,2020-11-03 04:00:00+00:00,2020-11-03 20:00:00+00:00,100,384.23,388.11,-17.335014725510227,-111.0316737370835,370.351091793978,TrendExit
SOL/USDT,sell,2020-10-13 20:00:00+00:00,2020-11-04 16:00:00+00:00,2020-11-06 16:00:00+00:00,50,2.365,1.8026,321.0071018364939,1184.6008456659617,2307.1881606765332,TrendExit
ZEC/USDT,sell,2020-10-25 08:00:00+00:00,2020-11-03 04:00:00+00:00,2020-11-06 20:00:00+00:00,50,63.4,61.66,67.19344506530793,132.29258675078896,932.1766561514197,TrendExit
AVAX/USDT,sell,2020-11-08 08:00:00+00:00,2020-11-08 08:00:00+00:00,2020-11-08 08:00:00+00:00,50,3.4193,3.4859824999999995,-77.49926843079876,-102.55774756529037,0.0,SL
ZEC/USDT,sell,2020-11-07 20:00:00+00:00,2020-11-07 20:00:00+00:00,2020-11-08 12:00:00+00:00,50,56.2,60.02996999999999,-74.8021666618366,-345.9150342526687,39.14590747331005,SL
ZEC/USDT,buy,2020-11-08 16:00:00+00:00,2020-11-08 16:00:00+00:00,2020-11-09 04:00:00+00:00,50,61.08,58.30164,-73.71141127302494,-232.32243123772142,66.30648330058958,SL
